copy	count
2667	6
1979	6
6800	6
2037	6
2039	6
2692	6
2769	6
2410	6
2772	6
2686	6
2382	6
6137	6
2044	6
2670	6
3521	6
1922	6
1919	6
11461	6
3149	6
2148	6
2540	6
2145	6
3152	6
2328	6
2140	6
3130	6
2928	6
3127	6
1871	6
2543	6
2550	6
3121	6
7214	6
1861	6
2469	6
22641	6
3564	6
2304	6
2302	6
1847	6
3189	6
2303	6
7333	6
2175	6
3250	6
1836	6
2468	6
1835	6
3261	6
2301	6
2130	6
3475	6
2554	6
2123	6
3542	6
2096	6
2971	6
2576	6
2107	6
1909	6
1907	6
2115	6
2444	6
1903	6
2999	6
1900	6
3687	6
2355	6
6548	6
3091	6
3002	6
3034	6
2125	6
2564	6
2565	6
3052	6
2126	6
3590	6
2456	6
2562	6
1886	6
2128	6
6658	6
3064	6
11946	6
7943	6
4377	6
3809	6
28591	6
4121	6
1564	6
12234	6
5026	6
4252	6
1559	6
1580	6
4603	6
1281	6
5623	6
8088	6
1517	6
1511	6
1568	6
1248	6
12256	6
1624	6
5086	6
1645	6
4509	6
1639	6
981	6
4370	6
1622	6
4571	6
4362	6
4091	6
3913	6
4548	6
5043	6
944	6
1306	6
4920	6
1495	6
3975	6
1363	6
3840	6
1373	6
16448	6
1381	6
4716	6
1420	6
5420	6
1418	6
1417	6
1382	6
1387	6
1398	6
4747	6
1434	6
1439	6
1443	6
1449	6
4819	6
4826	6
1348	6
1463	6
3823	6
4839	6
1473	6
8753	6
1475	6
1339	6
4649	6
4195	6
4909	6
1647	6
1581	6
1399	6
1140	6
1669	6
4479	6
1713	6
4411	6
28956	6
1135	6
9355	6
1676	6
1677	6
1682	6
1684	6
1665	6
5167	6
1141	6
17429	6
1705	6
1704	6
1142	6
4107	6
5101	6
5247	6
1696	6
1168	6
1671	6
4218	6
1125	6
1659	6
1656	6
1661	6
5219	6
1013	6
1729	6
3873	6
17561	6
1184	6
1735	6
4765	5
2357	5
3892	5
3952	5
3079	5
3076	5
3233	5
2315	5
3081	5
3087	5
2153	5
3033	5
2152	5
4278	5
2311	5
6401	5
3101	5
3102	5
3216	5
3889	5
3063	5
3077	5
8382	5
2353	5
2138	5
2139	5
3231	5
2351	5
2141	5
3229	5
2358	5
17483	5
3042	5
3047	5
3050	5
3055	5
4269	5
2339	5
5170	5
4771	5
2334	5
5164	5
3060	5
2137	5
2363	5
2330	5
2157	5
18588	5
3617	5
2217	5
3154	5
4753	5
2228	5
3183	5
6327	5
5036	5
3181	5
2227	5
5053	5
12432	5
5056	5
6312	5
17368	5
5073	5
2234	5
4241	5
2213	5
2186	5
2210	5
10407	5
2211	5
6306	5
5105	5
2207	5
2191	5
5076	5
3167	5
3177	5
2235	5
2236	5
3106	5
3931	5
2295	5
3210	5
2291	5
4942	5
4065	5
3124	5
3211	5
2279	5
2272	5
4957	5
4259	5
2268	5
2165	5
6362	5
3184	5
5148	5
3135	5
4968	5
7233	5
4979	5
5137	5
2254	5
4253	5
5019	5
46085	5
5030	5
8320	5
2757	5
2277	5
2428	5
3029	5
2642	5
4012	5
4368	5
2627	5
2628	5
2633	5
2636	5
2639	5
2803	5
10804	5
4494	5
4486	5
6897	5
102733	5
2650	5
2654	5
2656	5
2615	5
3664	5
3670	5
2571	5
2867	5
11060	5
2862	5
3643	5
4555	5
2863	5
2566	5
2570	5
2817	5
2851	5
2586	5
2592	5
3666	5
2601	5
2602	5
2605	5
2661	5
4478	5
6767	5
2730	5
4030	5
2714	5
2717	5
2716	5
2728	5
2765	5
10953	5
4399	5
2668	5
3650	5
2736	5
102686	5
2760	5
2745	5
4387	5
102697	5
2767	5
4379	5
2768	5
2711	5
2671	5
102725	5
3649	5
2672	5
2676	5
2789	5
2685	5
2684	5
2787	5
2784	5
2696	5
2699	5
2702	5
102747	5
2777	5
4578	5
4576	5
2373	5
102633	5
2121	5
2435	5
2436	5
2955	5
2440	5
8767	5
4664	5
2948	5
2956	5
2447	5
5833	5
2942	5
2455	5
2941	5
2935	5
2458	5
2426	5
2420	5
2547	5
4711	5
2372	5
7121	5
2379	5
3023	5
4729	5
2383	5
2398	5
2995	5
2967	5
2986	5
2987	5
4702	5
2974	5
2412	5
4310	5
2414	5
2462	5
2464	5
4645	5
2527	5
2516	5
2901	5
2898	5
2899	5
2893	5
2890	5
4347	5
2529	5
2472	5
3998	5
2530	5
4001	5
2534	5
2876	5
7738	5
4349	5
2512	5
2510	5
2900	5
2506	5
2474	5
2477	5
6574	5
2481	5
102616	5
4643	5
8730	5
4620	5
2494	5
3681	5
2496	5
2909	5
2503	5
2505	5
2507	5
5216	5
7687	5
1425	5
1610	5
10022	5
3373	5
3374	5
6076	5
3377	5
8278	5
1350	5
1978	5
3503	5
1351	5
4173	5
5453	5
3386	5
4175	5
1966	5
1832	5
1601	5
1961	5
1597	5
5477	5
1401	5
1593	5
4163	5
1953	5
1952	5
1592	5
1402	5
4177	5
1992	5
1839	5
5920	5
1806	5
3354	5
1300	5
18389	5
1807	5
3853	5
1811	5
2010	5
1322	5
3794	5
3515	5
3745	5
1628	5
2008	5
1323	5
2003	5
2002	5
3508	5
3744	5
1818	5
4108	5
4109	5
5426	5
1823	5
3362	5
1995	5
9812	5
1838	5
1410	5
5903	5
1923	5
1459	5
3471	5
5622	5
1523	5
7567	5
1461	5
1880	5
1883	5
1514	5
1472	5
1912	5
1885	5
1911	5
3465	5
1908	5
1479	5
1905	5
3820	5
3449	5
3821	5
1899	5
1898	5
3599	5
1489	5
42444	5
1498	5
1893	5
1458	5
1873	5
1945	5
3473	5
1942	5
1841	5
3493	5
11681	5
3594	5
3765	5
3485	5
3482	5
3412	5
1940	5
1853	5
3415	5
1938	5
1937	5
4153	5
4125	5
7512	5
1562	5
4089	5
1438	5
1867	5
1868	5
3597	5
3430	5
5538	5
3601	5
1530	5
3351	5
5423	5
1770	5
1227	5
1764	5
2083	5
5261	5
1766	5
4196	5
3287	5
1694	5
3286	5
2070	5
2069	5
2066	5
3547	5
1199	5
1771	5
2061	5
3303	5
1772	5
7965	5
2057	5
7966	5
1689	5
18169	5
1213	5
5769	5
1674	5
1762	5
1707	5
1753	5
2104	5
3587	5
4205	5
3613	5
3255	5
3582	5
3580	5
3257	5
2111	5
3610	5
2106	5
7354	5
3579	5
1710	5
5843	5
3575	5
2102	5
5816	5
3779	5
1716	5
1714	5
6194	5
2097	5
3879	5
4097	5
5316	5
5594	5
3606	5
2041	5
2040	5
3326	5
1653	5
5370	5
5343	5
1790	5
2035	5
1657	5
3526	5
1662	5
7434	5
2027	5
1664	5
3339	5
3341	5
2031	5
3530	5
2030	5
1268	5
1228	5
3331	5
1288	5
2020	5
1651	5
1282	5
5371	5
3791	5
6857	4
6906	4
3584	4
2894	4
2758	4
2895	4
3525	4
4135	4
2764	4
2908	4
2810	4
8469	4
4103	4
8445	4
4129	4
3562	4
2761	4
6859	4
2906	4
31563	4
6998	4
3454	4
6903	4
8224	4
3464	4
2807	4
4340	4
7608	4
15094	4
2762	4
4110	4
3576	4
2902	4
2907	4
2808	4
4111	4
6892	4
6983	4
7657	4
4352	4
7634	4
4104	4
102706	4
2834	4
6885	4
2856	4
3540	4
2792	4
11043	4
2837	4
7594	4
6896	4
3498	4
2848	4
2838	4
2844	4
2849	4
3541	4
2795	4
2846	4
2797	4
7633	4
8455	4
6882	4
7648	4
4350	4
7650	4
3476	4
102698	4
2774	4
6942	4
8440	4
3532	4
19859	4
3548	4
2776	4
6893	4
4356	4
2796	4
47907	4
102719	4
4378	4
32779	4
3490	4
8465	4
2865	4
102688	4
19887	4
56040	4
3244	4
2911	4
3302	4
3342	4
7247	4
7251	4
8346	4
3155	4
3157	4
7430	4
4251	4
3161	4
3163	4
3325	4
3162	4
4198	4
3323	4
3318	4
3319	4
3315	4
3309	4
3164	4
11543	4
3146	4
3144	4
3128	4
3117	4
4271	4
3119	4
3118	4
102553	4
3359	4
4260	4
3357	4
4256	4
7243	4
11538	4
7446	4
19509	4
3346	4
3134	4
3139	4
3138	4
7236	4
7262	4
3169	4
3107	4
11364	4
3267	4
8302	4
3219	4
3218	4
3262	4
3263	4
4207	4
3223	4
3224	4
3227	4
3226	4
3256	4
15512	4
3230	4
3237	4
23727	4
3241	4
3251	4
7342	4
4221	4
3215	4
3270	4
4227	4
3173	4
3301	4
3299	4
3289	4
3179	4
7272	4
3180	4
3285	4
3191	4
3273	4
4202	4
3192	4
4200	4
3197	4
3275	4
3201	4
7306	4
3272	4
3110	4
3361	4
2913	4
4293	4
2952	4
3435	4
4136	4
8401	4
4143	4
2958	4
2963	4
2964	4
3424	4
11155	4
2966	4
2968	4
3423	4
3417	4
3242	4
2978	4
2985	4
8407	4
4303	4
4314	4
4139	4
4133	4
2933	4
16613	4
4329	4
2914	4
2919	4
2920	4
28024	4
20716	4
2930	4
11120	4
7532	4
11638	4
3440	4
3441	4
2937	4
2943	4
3438	4
11140	4
7040	4
2996	4
3001	4
7197	4
4159	4
7142	4
20658	4
3056	4
4277	4
4276	4
3375	4
8369	4
3072	4
7464	4
3366	4
3364	4
19456	4
7177	4
3365	4
4189	4
3095	4
